	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
201-1	0.096444573	4688733.692	0.077409246	2487578.899	0.12052509	3407620.716	0.085267898	2679731.493	0.087592194	4921470.673	0.102774416	2596245.83	0.091328597	2330302.222	0.098166887	8079496.288	0.088720474	3179576.552
201-10	0.110284262	3233684.197	0.074432868	2388166.193	0.132749964	2206169.618	0.08099425	2008142.889	0.086033761	3818106.544	0.110486458	2444225.537	0.102050171	2211035.297	0.090573234	5021082.991	0.091872162	2535473.878
201-11	0.096115811	4454163.009	0.075807551	2858033.974	0.125965431	2857390.355	0.088191445	2870794.425	0.085997033	3860677.36	0.106631343	2785161.052	0.095212654	2177667.173	0.092179345	5844906.55	0.092065705	3315561.676
201-120	0.113042438	2018279.188	0.07805493	1328536.531	0.123715606	1352502.315	0.08635569	1476309.593	0.110500656	4904964.859	0.139035412	1305898.244	0.11453022	1209105.506	0.102005812	4230609.265	0.091563477	1635999.114
201-121	0.102694304	5699330.136	0.07684797	3012220.252	0.101087432	3736089.093	0.080488696	1734511.354	0.092219503	6350352.392	0.104466929	2711427.558	0.097211673	2828842.157	0.099069485	7546600.579	0.088752826	3094888.87
201-122	0.109419203	3926096.196	0.077113686	2910251.351	0.106796097	3111962.66	0.093603943	2406487.274	0.085166887	4059578.467	0.10954382	2336135.083	0.099598809	2280773.429	0.09625729	6628938.632	0.090731618	3436713.798
201-123	0.099201169	3777620.244	0.074053602	1893017.494	0.105138502	3229365.201	0.072382048	1787650.726	0.095275895	5044645.654	0.109035027	2755390.851	0.099743341	2375456.174	0.095906632	6422011.312	0.08461124	2508068.119
201-124	0.100296481	3406114.979	0.084907809	2488961.719	0.11745071	1931745.755	0.089718585	2106130.096	0.108222271	7050723.542	0.117931043	1834719.897	0.109802055	1637150.066	0.09810563	4781794.23	0.09843053	2776934.321
201-126	0.100087439	3561480.124	0.079986623	1831094.358	0.107950091	2692121.141	0.090742319	2112338.989	0.096878271	6085652.102	0.112301817	2422413.753	0.098359901	1735059.916	0.092469977	7295874.8	0.092305717	2195466.123
201-127	0.104854913	4066555.914	0.072446228	2052655.537	0.108007963	3098868.602	0.07032054	2109610.649	0.10972161	8466408.924	0.109250243	2735346.883	0.099808824	2351422.88	0.092468161	5810026.61	0.085949796	2476222.811
